dataset_index,shared_height_source_id,cv_process_group,target,component,variant,fold,model,observed,predicted,train_null,score_scale,alpha
169,zro2_60_pass:m015,BASE:T10,D,median_depth_um,proc_gkf,2,h_only,19.716219902038574,32.22161442434912,25.58545929309912,1.0,31.622776601683793
170,zro2_60_pass:m016,BASE:T10,D,median_depth_um,proc_gkf,2,h_only,6.387043476104736,32.22161442434912,25.58545929309912,1.0,31.622776601683793
171,zro2_60_pass:m016,BASE:T10,D,median_depth_um,proc_gkf,2,h_only,25.57870388031006,32.22161442434912,25.58545929309912,1.0,31.622776601683793
0,zro2_120_formal:m001,FQ:500:2:2:11|N4,D,median_depth_um,proc_gkf,3,h_only,13.506645679473877,29.193753887590315,25.106178864382674,1.0,100.0
15,zro2_120_formal:m016,FQ:500:50:8:11|N4,D,median_depth_um,proc_gkf,3,h_only,46.040103912353516,23.04317078056941,25.106178864382674,1.0,100.0
16,zro2_120_formal:m017,FQ:500:100:2:3|N2,D,median_depth_um,proc_gkf,3,h_only,54.575416564941406,29.193753887590315,25.106178864382674,1.0,100.0
20,zro2_120_formal:m021,FQ:500:100:6:3|N3,D,median_depth_um,proc_gkf,3,h_only,56.62374496459961,25.09336514957638,25.106178864382674,1.0,100.0
23,zro2_120_formal:m024,FQ:500:200:10:11|N5,D,median_depth_um,proc_gkf,3,h_only,65.08415985107422,20.992976411562445,25.106178864382674,1.0,100.0
24,zro2_120_formal:m025,FQ:1000:2:2:7|N3,D,median_depth_um,proc_gkf,3,h_only,16.00606060028076,29.193753887590315,25.106178864382674,1.0,100.0
25,zro2_120_formal:m026,FQ:1000:2:10:11|N1,D,median_depth_um,proc_gkf,3,h_only,0.17148056626319885,20.992976411562445,25.106178864382674,1.0,100.0
