i,j,pair_type,d_phi
157,80,random_ordinary,0.9792733001621476
142,151,random_ordinary,0.9713296709618333
135,31,random_ordinary,0.9834363199493982
4,52,random_ordinary,0.9768221868012897
77,187,random_ordinary,0.9881968789572649
101,88,random_ordinary,0.9862172297830213
149,127,random_ordinary,0.9850955414059872
103,124,random_ordinary,0.9871461339017916
153,147,random_ordinary,0.980723732045858
120,83,random_ordinary,0.9811775533371186
162,182,random_ordinary,0.9851469176816702
95,186,random_ordinary,0.9862986659993189
24,176,random_ordinary,0.9882837748893967
130,38,random_ordinary,0.9807913324293785
193,64,random_ordinary,0.9810996439142451
194,162,random_ordinary,0.9813652071480752
52,100,random_ordinary,0.9851132056938952
95,174,random_ordinary,0.9805616404656864
175,181,random_ordinary,0.9762343627508371
61,149,random_ordinary,0.9886943216981975
135,1,random_ordinary,0.9841157085449608
88,83,random_ordinary,0.9869091959487716
144,161,random_ordinary,0.9758789606501741
62,102,random_ordinary,0.9820992900145936
7,95,random_ordinary,0.9787448689248206
14,15,random_ordinary,0.9794446811493028
34,56,random_ordinary,0.9780485834475829
176,173,random_ordinary,0.9823995117042746
173,32,random_ordinary,0.9700172908427341
29,120,random_ordinary,0.98797102381528
21,34,random_ordinary,0.9777191431288565
51,129,random_ordinary,0.9829924031870739
191,51,random_ordinary,0.9807097119956852
115,121,random_ordinary,0.9833071490598575
138,82,random_ordinary,0.9854433185597472
111,25,random_ordinary,0.9862048677538224
78,164,random_ordinary,0.9738665957793181
138,160,random_ordinary,0.983521806064345
13,160,random_ordinary,0.9775942876876046
48,184,random_ordinary,0.9860066890939334
124,14,random_ordinary,0.9813306538792771
196,115,random_ordinary,0.9881369151976811
156,11,random_ordinary,0.9810590236634497
20,135,random_ordinary,0.9847388449904123
136,182,random_ordinary,0.9788277827655139
133,123,random_ordinary,0.9857275176572783
9,57,random_ordinary,0.9713489955532747
132,170,random_ordinary,0.9780464392117552
4,71,random_ordinary,0.9880941141035167
175,198,random_ordinary,0.985896730239501
83,107,random_ordinary,0.9842908272128408
158,59,random_ordinary,0.98186450448953
49,158,random_ordinary,0.9887334725315218
28,17,random_ordinary,0.9872017013482383
112,1,random_ordinary,0.9849349566732852
156,125,random_ordinary,0.9842528797758436
82,86,random_ordinary,0.9849094858030419
93,35,random_ordinary,0.9813289183706926
85,116,random_ordinary,0.9827662817305981
69,134,random_ordinary,0.981023885696567
128,125,random_ordinary,0.9833314925328027
57,157,random_ordinary,0.990019978028841
108,139,random_ordinary,0.9875900740007998
46,108,random_ordinary,0.9818076636005026
44,197,random_ordinary,0.9805456288570411
95,182,random_ordinary,0.9864155259217094
25,194,random_ordinary,0.9892449851245967
39,49,random_ordinary,0.9869722322653331
153,183,random_ordinary,0.9775157804812492
90,81,random_ordinary,0.9890657545337136
129,88,random_ordinary,0.9839199408555614
99,41,random_ordinary,0.9881783551684339
130,85,random_ordinary,0.985827105175243
130,120,random_ordinary,0.9807031027927063
69,133,random_ordinary,0.9632331117937445
113,26,random_ordinary,0.9881080163272913
37,119,random_ordinary,0.9876482345719837
53,9,random_ordinary,0.9896745079723172
107,128,random_ordinary,0.9758851445347568
197,163,random_ordinary,0.9850396293690631
80,150,random_ordinary,0.9835256936169496
47,33,random_ordinary,0.962666081142754
56,71,random_ordinary,0.9830292475268223
