job,vector,D_um,A_um,implausible_depth,all_finite,accepted,failure
domain_P11_82_w3.0_r3,"[9.514227521571051, -22.891263312078028, -8.412956812819123, 0.6048029762521807, 0.762075358166721, -0.3866720099911759]",0.009099741990846918,0.0004790233242262831,False,True,True,
domain_P11_83_w0.874_r3,"[16.094839796698423, -20.90831055151078, -0.5033837216710246, 2.867853027306918, 0.29640551155811856, -0.5160222774769994]",-0.0,0.005085056236635776,False,True,True,
domain_P11_83_w0.874_r1,"[16.094839796698423, -20.90831055151078, -0.5033837216710246, 2.867853027306918, 0.29640551155811856, -0.5160222774769994]",-0.0,0.012020050011006627,False,True,True,
domain_P11_83_w0.874_r0,"[16.094839796698423, -20.90831055151078, -0.5033837216710246, 2.867853027306918, 0.29640551155811856, -0.5160222774769994]",-0.0,0.013038522093229643,False,True,True,
domain_P11_77_w0.874_r0,"[4.78517832377043, -14.822863983573221, -7.638420874567533, -2.038122609244237, -0.34458775504030825, 0.8186099918440086]",7329.421751930288,3253.442963657084,True,True,True,
domain_P11_83_w2.0_r3,"[16.094839796698423, -20.90831055151078, -0.5033837216710246, 2.867853027306918, 0.29640551155811856, -0.5160222774769994]",0.004727732924889297,0.004965114201678328,False,True,True,
domain_P11_77_w2.0_r1,"[4.78517832377043, -14.822863983573221, -7.638420874567533, -2.038122609244237, -0.34458775504030825, 0.8186099918440086]",6044.902377043393,537.0609603149582,True,True,True,
domain_P11_83_w2.0_r1,"[16.094839796698423, -20.90831055151078, -0.5033837216710246, 2.867853027306918, 0.29640551155811856, -0.5160222774769994]",0.01766366669445249,0.00541757399217374,False,True,True,
domain_P11_83_w3.0_r3,"[16.094839796698423, -20.90831055151078, -0.5033837216710246, 2.867853027306918, 0.29640551155811856, -0.5160222774769994]",0.0077596446456073675,0.004619576794252138,False,True,True,
domain_P11_82_w3.0_r1,"[9.514227521571051, -22.891263312078028, -8.412956812819123, 0.6048029762521807, 0.762075358166721, -0.3866720099911759]",0.030129463782271246,0.0011605681380315088,False,True,True,
domain_P11_84_w0.874_r3,"[7.773476099962812, -24.78207047469401, -6.414661477638125, 2.5272780467463214, 0.3561310945167371, -0.11894051833005936]",-0.0,0.00031230879477644563,False,True,True,
domain_P11_83_w2.0_r0,"[16.094839796698423, -20.90831055151078, -0.5033837216710246, 2.867853027306918, 0.29640551155811856, -0.5160222774769994]",0.02245391375806581,0.011564148845478203,False,True,True,
domain_P11_84_w0.874_r1,"[7.773476099962812, -24.78207047469401, -6.414661477638125, 2.5272780467463214, 0.3561310945167371, -0.11894051833005936]",0.0006299635474710795,0.00040695711271454126,False,True,True,
domain_P11_84_w0.874_r0,"[7.773476099962812, -24.78207047469401, -6.414661477638125, 2.5272780467463214, 0.3561310945167371, -0.11894051833005936]",0.0007985761799135893,0.0006018801304808405,False,True,True,
domain_P11_84_w2.0_r3,"[7.773476099962812, -24.78207047469401, -6.414661477638125, 2.5272780467463214, 0.3561310945167371, -0.11894051833005936]",0.0007872231963820595,0.00022931239462546367,False,True,True,
domain_P11_82_w3.0_r0,"[9.514227521571051, -22.891263312078028, -8.412956812819123, 0.6048029762521807, 0.762075358166721, -0.3866720099911759]",0.03903443052314891,0.0014546102094926195,False,True,True,
