scale,permutation,null_median_cos_pc1_next
DCT_16_32,110,0.9014554608330079
DCT_16_32,111,0.9917850545000678
DCT_16_32,112,0.9793075585996041
DCT_16_32,113,0.958184700366983
DCT_16_32,114,0.8594007105809097
DCT_16_32,115,0.9942792615856378
DCT_16_32,116,0.9960442535208351
DCT_16_32,117,0.9970795842012745
DCT_16_32,118,0.9778855333999594
DCT_16_32,119,0.9164637273984825
DCT_16_32,120,0.9875691491126728
DCT_16_32,121,0.9940661206678206
DCT_16_32,122,0.9734816906061133
DCT_16_32,123,0.9801920749985626
DCT_16_32,124,0.9569323285911746
DCT_16_32,125,0.9850058861229569
DCT_16_32,126,0.983728574914637
DCT_16_32,127,0.8634449937702189
DCT_16_32,128,0.9973351054499843
DCT_16_32,129,0.945774255196118
DCT_16_32,130,0.9948043888252773
DCT_16_32,131,0.9733372994832796
DCT_16_32,132,0.9919563193581256
DCT_16_32,133,0.9723244077413534
DCT_16_32,134,0.9886893436571776
DCT_16_32,135,0.9941188717796416
DCT_16_32,136,0.9831904165413093
DCT_16_32,137,0.9725787576034892
DCT_16_32,138,0.9886241254988501
DCT_16_32,139,0.9702720556674312
DCT_16_32,140,0.950345179019573
DCT_16_32,141,0.9918091185062012
DCT_16_32,142,0.9403434368738495
DCT_16_32,143,0.577978744001381
DCT_16_32,144,0.9843945032406871
DCT_16_32,145,0.9832813200066493
DCT_16_32,146,0.9719583769654175
DCT_16_32,147,0.988212150366705
DCT_16_32,148,0.9749531437670388
DCT_16_32,149,0.9821344171585612
DCT_16_32,150,0.9118594771319373
DCT_16_32,151,0.9738950404744393
DCT_16_32,152,0.8778362342786884
DCT_16_32,153,0.9725286455905802
DCT_16_32,154,0.9148271805840416
DCT_16_32,155,0.9837861717134242
DCT_16_32,156,0.9697820467620373
DCT_16_32,157,0.9605154497643096
DCT_16_32,158,0.9587649253402191
DCT_16_32,159,0.9751024267278845
DCT_16_32,160,0.9665209124460603
DCT_16_32,161,0.9951710122778713
DCT_16_32,162,0.9854159832089098
DCT_16_32,163,0.9883363380422796
DCT_16_32,164,0.9950548780250327
DCT_16_32,165,0.99591556907121
DCT_16_32,166,0.995696581604414
DCT_16_32,167,0.9714679033796437
DCT_16_32,168,0.9875580326378124
DCT_16_32,169,0.9849424381934708
DCT_16_32,170,0.9723685355695468
DCT_16_32,171,0.9889183329352966
DCT_16_32,172,0.9878447072627514
DCT_16_32,173,0.9801029218228519
DCT_16_32,174,0.9539040505657664
DCT_16_32,175,0.8111755063718865
DCT_16_32,176,0.9820998079631161
DCT_16_32,177,0.9863000548189853
DCT_16_32,178,0.9986773199660899
DCT_16_32,179,0.9841651615151576
DCT_16_32,180,0.985025987591649
DCT_16_32,181,0.9564471164042773
DCT_16_32,182,0.9949504835372456
DCT_16_32,183,0.9842483202719311
DCT_16_32,184,0.920342340014677
DCT_16_32,185,0.9722302417786224
DCT_16_32,186,0.9963849728217369
DCT_16_32,187,0.9625972156344985
DCT_16_32,188,0.9496483587342907
DCT_16_32,189,0.9773073672516405
DCT_16_32,190,0.9874730555932063
DCT_16_32,191,0.8783718705888099
DCT_16_32,192,0.962466957680219
DCT_16_32,193,0.9969461751697384
DCT_16_32,194,0.9673828282593432
DCT_16_32,195,0.9916308852862682
DCT_16_32,196,0.9817287843577475
DCT_16_32,197,0.9719501274697506
DCT_16_32,198,0.8854124526333096
DCT_16_32,199,0.9656843349715563
DCT_16_32,200,0.9727656528863767
DCT_32_64,1,0.9813498172435918
DCT_32_64,2,0.9809134805070446
DCT_32_64,3,0.9915539065593562
DCT_32_64,4,0.9868924526612719
DCT_32_64,5,0.9281407693482199
DCT_32_64,6,0.9222191744889142
DCT_32_64,7,0.9615622335987651
DCT_32_64,8,0.9775643684045024
DCT_32_64,9,0.9884899821850387
DCT_32_64,10,0.9867532734498188
DCT_32_64,11,0.9807644299512737
DCT_32_64,12,0.6865584606666697
DCT_32_64,13,0.9488402924928724
DCT_32_64,14,0.9796587036594183
DCT_32_64,15,0.9837939057505495
DCT_32_64,16,0.9958681188377141
DCT_32_64,17,0.9962165050482251
DCT_32_64,18,0.988992800413172
DCT_32_64,19,0.9945080510494541
DCT_32_64,20,0.9595693528666657
DCT_32_64,21,0.9276195989045697
DCT_32_64,22,0.5508947435912281
DCT_32_64,23,0.9833865688553136
DCT_32_64,24,0.9646086876665803
DCT_32_64,25,0.9850035369553484
DCT_32_64,26,0.7819754549228866
DCT_32_64,27,0.9941418023116926
DCT_32_64,28,0.9827976993758731
DCT_32_64,29,0.8697815458501109
DCT_32_64,30,0.987953043838477
DCT_32_64,31,0.9974587467376631
DCT_32_64,32,0.921239861693703
DCT_32_64,33,0.9967988537426795
DCT_32_64,34,0.8705885679690184
DCT_32_64,35,0.9923440203203123
DCT_32_64,36,0.8697676445418043
DCT_32_64,37,0.9608145283649338
DCT_32_64,38,0.8802510902841924
DCT_32_64,39,0.9930228504764336
DCT_32_64,40,0.8895990960969423
DCT_32_64,41,0.9918846524961337
DCT_32_64,42,0.9960292375372105
DCT_32_64,43,0.9976805345685005
DCT_32_64,44,0.9948011643194994
DCT_32_64,45,0.8284669963470629
DCT_32_64,46,0.9781872827114453
DCT_32_64,47,0.9660646784155967
DCT_32_64,48,0.906818149487791
DCT_32_64,49,0.993066118326823
DCT_32_64,50,0.903931622677748
DCT_32_64,51,0.9952362045761631
DCT_32_64,52,0.9594304416141358
