dataset_index,band,A2,theta_k_deg,theta_stripe_deg,angular_entropy
47,16_32,0.4092674584581021,2.6110833441045265,92.61108334410453,0.7244313446243151
47,32_64,0.59980230088696,54.31753424071255,144.31753424071255,0.38123700346672773
47,64_inf,0.5117264681420874,-90.0,0.0,0.15509938007499974
48,8_16,0.14394220604146168,25.21427064582056,115.21427064582056,0.9208177090259019
48,16_32,0.2898229493468187,49.507185767304705,139.5071857673047,0.7902027510447331
48,32_64,0.3441250502464123,-52.21784237540714,37.78215762459286,0.5007407652252757
48,64_inf,0.6909559297660574,-90.0,0.0,0.12012591091084844
49,8_16,0.15292133764190452,-6.39043145212834,83.60956854787166,0.8931434690263835
49,16_32,0.14797901084238874,15.110880751944023,105.11088075194402,0.7695591858491803
49,32_64,0.47682813090707227,55.604910046447365,145.60491004644737,0.512739136895198
49,64_inf,0.5742483780307158,-90.0,0.0,0.14447867360518502
50,8_16,0.968531796740373,-0.01068427363702558,89.98931572636297,0.28840012517224023
50,16_32,0.539042527369383,-6.336501319060451,83.66349868093955,0.6466076748899541
50,32_64,0.28722129899355814,26.979053009871514,116.9790530098715,0.47758059401745423
50,64_inf,0.07963130714512552,-89.99999999999999,1.4210854715202004e-14,0.19254070105367377
51,8_16,0.12792012603282002,22.726346582510324,112.72634658251033,0.9174741956782942
51,16_32,0.04590400523380051,81.82342835155983,171.8234283515598,0.7735511162635024
51,32_64,0.4302022712595885,-28.278015357428945,61.72198464257106,0.46390155665172084
51,64_inf,0.6448679112524798,-4.474389160305165e-15,90.0,0.1305093214254
52,8_16,0.012079944942237526,24.33868105134646,114.33868105134646,0.9454630740160777
52,16_32,0.28722768089439576,18.403282060615,108.403282060615,0.7192293712813347
52,32_64,0.3585804036985186,35.91309983733015,125.91309983733015,0.38631764909194327
52,64_inf,0.29687325357758215,-90.0,0.0,0.18094199345297984
53,8_16,0.1494548018772401,42.86699652136426,132.86699652136426,0.9549473698303074
53,16_32,0.09156755906337101,-79.27203124403279,10.727968755967211,0.8422196659756336
53,32_64,0.41265910109623577,-31.647198579013445,58.35280142098655,0.45411163019137435
53,64_inf,0.8580143732983087,-3.798638791975409e-15,90.0,0.07149383424660899
54,8_16,0.9009628591577852,-0.08250451678700405,89.917495483213,0.3680154583415413
54,16_32,0.8819439265377215,-1.9450262510304976,88.0549737489695,0.39191464363976003
54,32_64,0.29129437842503264,65.49419748936035,155.49419748936035,0.5268400633499803
54,64_inf,0.6126344914617383,-90.0,0.0,0.13716102988619405
55,8_16,0.11442793191184492,-7.410279567061975,82.58972043293802,0.8985446402962041
55,16_32,0.2939802385363016,6.8815560526264905,96.8815560526265,0.80812309804843
55,32_64,0.09078278939597484,-64.97490688090728,25.025093119092716,0.4582168544024764
55,64_inf,0.1085135319836424,-89.99999999999999,1.4210854715202004e-14,0.1917801997693495
56,8_16,0.15511993808623153,10.897567401596085,100.89756740159609,0.9227907409452875
56,16_32,0.5268690540579305,-66.71823912834552,23.281760871654484,0.7380165049876826
56,32_64,0.3521190838584515,-34.538033576153104,55.461966423846896,0.46787507238100706
56,64_inf,0.21081095445280834,-90.0,0.0,0.1871788540733158
57,8_16,0.38941751709457145,16.5162824860501,106.5162824860501,0.8879316836979431
57,16_32,0.2893435929323371,53.15916750867517,143.15916750867518,0.7944286557139628
57,32_64,0.3021531227894914,59.62248246384453,149.62248246384453,0.53297596502686
57,64_inf,0.8925314503523581,-3.719572856568416e-15,90.0,0.05842501230720032
58,8_16,0.45850702952783495,-67.09362254439976,22.906377455600236,0.8800731858272365
58,16_32,0.3810101644270543,-65.55161633141293,24.44838366858707,0.7759996383008811
58,32_64,0.5622443290217063,-57.42666754220198,32.57333245779802,0.4430046151117868
58,64_inf,0.30534825777789043,-90.0,0.0,0.1802070881997174
59,8_16,0.7762643093733309,-1.7718339564137977,88.2281660435862,0.5975008214928869
59,16_32,0.2275244836992712,-1.7292127621391722,88.27078723786083,0.7197529019118301
59,32_64,0.4701842758877796,-43.1381603098727,46.8618396901273,0.5077476843740698
59,64_inf,0.045659519953686056,-4.017283188808595e-14,89.99999999999996,0.19313541635087722
60,8_16,0.40461465360406107,12.754232603641409,102.75423260364141,0.8190005258447024
60,16_32,0.37509794769131805,8.83227469083243,98.83227469083243,0.722103013650546
60,32_64,0.2122155432106053,-27.543645639181314,62.456354360818686,0.46232265226220803
60,64_inf,0.42692151989145055,-5.8630761336694825e-15,90.0,0.16716077980982944
61,8_16,0.12215629001309182,-47.144990497384114,42.855009502615886,0.9045662738247501
61,16_32,0.2437834131073016,30.54216170749706,120.54216170749706,0.7666870253582571
61,32_64,0.07990960775709799,74.77988716186604,164.77988716186604,0.5512217129812348
61,64_inf,0.8180326114736168,-90.0,0.0,0.08505824846781442
62,8_16,0.2253194845984911,-18.574966355401497,71.4250336445985,0.8917024906394125
62,16_32,0.16621663065322065,-20.747263499925857,69.25273650007415,0.7569858458367006
62,32_64,0.4487624758529113,29.42863834140004,119.42863834140005,0.4822021909076734
62,64_inf,0.32212522373854363,-7.199815217484717e-15,89.99999999999999,0.17868696869701567
63,8_16,0.9136382975759129,0.7249186307402647,90.72491863074026,0.44957917697367705
63,16_32,0.9607210340123078,-0.07011439532706831,89.92988560467293,0.13162700919505962
63,32_64,0.09943982835330203,57.06757136312921,147.06757136312922,0.3830598032513444
63,64_inf,0.915370339881972,-3.670535380172096e-15,90.0,0.0488995000825602
